insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Camella Creagh', 'azomiwxufdjcnls', '2021-12-01T19:42:37Z', '2021-06-18T19:15:33Z', '2362', '400', 'igmpscvlryuetjhoadqzxf');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Gianna Jennery', 'ordywctvghbzfk', '2022-04-24T14:58:31Z', '2022-03-02T06:16:41Z', '2241', '2439', 'ujyvzcmhilowaskpbgqn');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Shirline Shimon', 'bfwoucvjzsanm', '2021-09-23T06:03:08Z', '2021-11-20T10:33:13Z', '4108', '2155', 'ofxenkbgiq');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Lydie Siggery', 'yiowgsfrjecxb', '2021-10-16T16:57:51Z', '2021-06-15T23:06:04Z', '4682', '672', 'eqickytnbgozx');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Nils Chisholme', 'magyirflbnc', '2022-02-16T22:40:40Z', '2021-06-27T23:49:01Z', '2900', '1614', 'pevukrdqbamfcxl');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Paul Norgan', 'isftudarvlbzqewkxjo', '2021-10-29T05:46:43Z', '2021-08-10T17:41:54Z', '4084', '868', 'zxamdwjpqhclgebtnkviofrsuy');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Angelo Aronsohn', 'shfrnbvwuitycpagzkj', '2022-03-19T23:48:41Z', '2021-09-25T21:19:38Z', '3467', '4533', 'wcmftzpirlxbsjndohuevaygqk');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Hakeem Brader', 'gpahczfyxwdleqrnb', '2021-12-01T09:32:12Z', '2021-10-29T05:17:11Z', '4892', '454', 'khilmngpbdcew');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Koo Abrahamian', 'afsjgbkqxwm', '2021-08-04T00:30:10Z', '2021-12-02T14:05:28Z', '561', '367', 'gboanqulrvdzx');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Garek Warne', 'ascihvmpdbkorfwy', '2021-10-20T23:44:22Z', '2022-01-18T19:33:10Z', '2239', '2935', 'ofbgqjpytwzesndrhklmcuxavi');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Leilah Jovey', 'eofmlivszrkhpujyanq', '2022-05-09T10:38:05Z', '2021-11-07T21:11:16Z', '631', '3207', 'cxmjoqzbalwiynkfsuvtrgedh');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Penny O''Concannon', 'gzpiwvtfxbk', '2022-03-21T02:36:43Z', '2022-03-15T19:06:47Z', '3765', '3336', 'daxhbgquicmrelzytnpwjofvks');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Gaspard Cook', 'smlrqotjneidf', '2021-09-26T13:20:53Z', '2022-01-13T01:45:27Z', '817', '4103', 'vhnqtwzpkiosacgyfbdmxreluj');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Normie Stolli', 'hwcxvkaisnpuldqzjo', '2021-07-30T07:54:44Z', '2022-01-09T06:04:07Z', '2441', '2187', 'vumdhzbpnjikeforawstlygcqx');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Shaylynn Guierre', 'twapcxnruosldhby', '2022-05-06T16:59:52Z', '2021-08-16T12:44:16Z', '3838', '1696', 'hianzobcmrsqldxypjvuewkfgt');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Clare Tommeo', 'eapjnhmcsilfudwr', '2022-03-06T15:02:24Z', '2021-11-08T16:44:50Z', '2969', '4061', 'ceinxblhguvtamofwzyrdjspkq');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Joyce Crickmoor', 'jrukltqphda', '2021-07-30T15:08:56Z', '2021-11-26T05:35:50Z', '3431', '3843', 'pfdyltnbkhzi');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Hart Durram', 'zhtxpieovadbcgk', '2021-10-16T02:28:15Z', '2022-04-04T02:02:59Z', '2187', '4671', 'roajzvweiqxksndgfhpuycbmtl');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Mirabel Aymerich', 'wtscqfrmdjkalbvg', '2022-05-28T01:53:38Z', '2021-07-06T17:03:43Z', '1397', '3658', 'wbqnkzohvtxjlfsipcmyurdeag');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Berrie Basant', 'xinvatblowjzykhmce', '2022-02-20T03:07:48Z', '2022-03-21T20:03:10Z', '1422', '128', 'etzdmgnublywsjxqiprachkfvo');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Neddie Batalini', 'oemxtqdwinghz', '2021-12-30T10:05:12Z', '2022-04-23T06:08:46Z', '497', '3926', 'jmuhfysgqwdzkleirnvbtcaoxp');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Dalli Oswick', 'djigcytlbohr', '2021-12-17T02:42:55Z', '2021-07-26T21:46:51Z', '175', '1628', 'rahlecutomnbjdfyvswikqzxpg');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Kiley Giorgio', 'ntedmboycqshkrv', '2021-11-16T09:44:04Z', '2021-11-09T15:40:25Z', '785', '649', 'msoafugkhvb');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Courtenay Rummins', 'qebwyavnokfldgsmpjhx', '2021-07-27T02:08:57Z', '2022-02-09T17:44:33Z', '2885', '1749', 'rufalmbsjdnviowecgkthpyxzq');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Margi Mauser', 'urgjwovntsxe', '2021-07-13T17:21:37Z', '2022-01-11T06:46:10Z', '183', '3544', 'sopvleqjkzwftanucdrgxhiymb');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Ruddy Morden', 'ojhezyarxqtlpswv', '2022-01-10T10:31:11Z', '2022-04-14T11:03:52Z', '3925', '1269', 'srkjeqiwhvyfbtoldczgxupmna');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Winn Deelay', 'yzihejfvqsback', '2021-12-15T00:21:58Z', '2021-08-08T08:54:52Z', '4341', '268', 'oxskpunvelcrajhb');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Lennie Findon', 'gzqjbilyowct', '2022-06-01T23:11:32Z', '2021-08-21T17:02:08Z', '593', '1665', 'mvpwlgdkfraujqnzechyosibxt');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Livvy Koschke', 'qmgtvowcrxfaij', '2022-02-12T00:44:17Z', '2022-05-23T13:57:03Z', '103', '4416', 'suzxflwjqkmnpirbvcdoteahg');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Alasteir Timby', 'lefouhspgb', '2021-10-11T07:56:03Z', '2022-05-17T22:52:23Z', '393', '2027', 'wfxcslyogn');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Aretha Antyshev', 'ckzveaorxgh', '2022-05-14T21:24:55Z', '2022-01-26T00:27:54Z', '1769', '1874', 'qvedcoxzkpjrbtfamhsyulinwg');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Ranique Letchford', 'mnijkodypxzwatqugvbr', '2022-03-02T13:01:32Z', '2021-08-21T04:23:49Z', '4073', '704', 'inugqytslrwbeaxcpdmzofkhvj');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Alika Ofen', 'zobvqwcpdfrxugkjh', '2021-10-12T11:52:45Z', '2022-04-02T12:56:24Z', '516', '4763', 'jagnyfeiulwmdct');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Ingram Jordeson', 'rcpdzfaklbuj', '2022-02-07T21:05:30Z', '2022-01-28T09:48:26Z', '2210', '425', 'ycpfwdlnzqebjtkrs');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Ros Heberden', 'ifhlapzwjeusrb', '2021-11-07T08:11:15Z', '2021-07-01T20:53:18Z', '4208', '3086', 'qacflmyptzdejxsnhkwgvubior');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Pearl Stapleford', 'metnvdpgaj', '2021-08-30T06:50:57Z', '2021-11-26T17:55:17Z', '2544', '4222', 'gpreblmyhqsvufaxkjotdn');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Torry Barnfield', 'rvimhoxednlfckytwagb', '2022-05-31T13:34:58Z', '2021-11-16T02:03:22Z', '2931', '4935', 'xpyjazvonrimfutlwgsbekhcqd');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Illa Frawley', 'qcetxsgmulypa', '2022-04-08T22:40:59Z', '2022-03-28T01:32:17Z', '2993', '427', 'fcywlbzgahpeq');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Darryl Filyakov', 'zqmpfhcotwend', '2021-11-26T18:08:32Z', '2021-10-22T05:30:45Z', '15', '4014', 'pmlxyoehdbqtwzjaurvifsgcnk');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Witty Lascelles', 'aekcmpgzwyjr', '2021-11-11T15:53:07Z', '2021-07-16T11:34:57Z', '3381', '1515', 'sexuhkbcdwzjgrpvmaynltqiof');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Darcey Shimmings', 'ojzvkhlfbuemingas', '2021-11-23T10:49:44Z', '2021-09-12T00:41:08Z', '4577', '1530', 'wdeqhfnputjagkzliycrvsobmx');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Elianora Butterfield', 'dfnuycjgkavmswqt', '2022-03-03T18:09:17Z', '2022-03-02T17:32:28Z', '558', '1541', 'xrcqesuljwtyb');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Filippo McGrayle', 'hobuepjtqwfxza', '2022-02-25T11:21:58Z', '2022-04-27T01:24:29Z', '4774', '3812', 'arjmfnxiqztchewdpsoglv');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Bella Capstake', 'dtayjwxqlnkm', '2021-09-27T06:02:46Z', '2021-08-08T15:27:50Z', '2352', '3682', 'dpwosgkzlamybeftijrcqnvhux');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Mel McMoyer', 'bsfgtdwkoymjn', '2021-07-27T17:19:34Z', '2021-09-05T10:06:04Z', '2557', '3635', 'becjhoyfsdimaxvpwnqrtuglkz');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Aksel Howard', 'mecqlotzpwbfhrkn', '2021-10-22T05:50:34Z', '2022-02-18T03:33:07Z', '3903', '3361', 'hknamtbydwlpscjqzfoverugxi');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Aurelia Rangall', 'acoixglwjbnsqfur', '2022-02-02T11:28:12Z', '2022-01-26T16:22:00Z', '3162', '1439', 'otklefuwapgmqhdnijcrbzv');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Boony Benjamin', 'vyprgfhjlxmzsoaw', '2022-02-04T08:53:17Z', '2022-04-15T06:02:07Z', '2145', '1852', 'ksfvjxudzgtbynciqowmheralp');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Forbes Geggie', 'mgdjxotlbspyna', '2022-05-02T09:11:56Z', '2021-07-26T21:46:06Z', '1545', '3927', 'dtqjgbakwzpnhc');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Emmery Huriche', 'plyeibkqwjsnrfova', '2022-05-11T13:24:19Z', '2022-01-06T11:54:30Z', '2720', '3998', 'olnaudzcevxhkprjqgy');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Melvyn Colls', 'juhkbemyptvfrcxo', '2021-09-22T19:54:22Z', '2022-04-02T09:01:27Z', '3920', '4866', 'dnfazlqhourbitwmyvgpecxs');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Huntley Viggers', 'vklsqjnmxrgod', '2021-12-05T13:00:53Z', '2022-05-02T07:04:03Z', '4393', '1577', 'ikvwqnpzoslyfdbehxurmatgcj');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Tanya Lote', 'wyfalctsqng', '2022-04-01T00:33:08Z', '2021-12-02T18:16:28Z', '1823', '4701', 'zsvwygxifnpmolb');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Alfy Leithgoe', 'ipmfraebuksndhwqvlo', '2021-12-22T20:48:30Z', '2021-06-19T11:42:34Z', '2416', '2370', 'iefywbrokspjxnmgdltauvqchz');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Gardiner Breukelman', 'wivtkhmobaqryxfj', '2022-01-14T02:38:04Z', '2021-10-28T22:01:40Z', '915', '2003', 'uldjwfhpxacteoqvsm');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Krishna Fardon', 'zajqodnvmilkfsbtr', '2021-09-12T16:02:38Z', '2022-03-03T21:26:26Z', '741', '2597', 'fuijtblkdnwzxsqomghrcavpye');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Valerie Graveston', 'xiwuecltovqdrb', '2021-09-26T05:25:59Z', '2022-03-16T17:46:47Z', '3003', '2250', 'wtasyjzdipemrgulbqconvxhkf');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Karlens Runham', 'whetbcdnvmyljgpfkxq', '2022-01-25T03:40:20Z', '2022-03-31T05:44:58Z', '2899', '4643', 'oimvdkqectzuxapfjwlhsgrynb');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Winn Rulf', 'dgxzactsijyb', '2021-10-26T01:12:25Z', '2022-01-24T09:12:51Z', '2020', '4687', 'yrujkwdpoagicnt');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Rodney Almeida', 'vjpncdileykswftqh', '2021-07-11T15:26:35Z', '2022-05-16T00:00:41Z', '1737', '720', 'mtxlosevczdgrj');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Joan Kildahl', 'mwaugxdfjnohrzletiq', '2021-10-07T12:13:35Z', '2021-12-17T05:28:51Z', '3267', '543', 'boykzdifcuvgxaqnlwtphsjmer');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Costanza Hinzer', 'iykcfnrlqdabjwmhoz', '2022-01-31T09:06:08Z', '2021-09-08T12:10:58Z', '2488', '123', 'wagzbitejrpqmlhdkyvscxnouf');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Howey Dressel', 'udvqhfzijyps', '2021-11-22T01:03:17Z', '2021-11-08T16:19:47Z', '1366', '2038', 'lhwbevicktdgyqx');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Isidro Camili', 'hlquyfovtjdnpmwke', '2021-07-29T22:20:39Z', '2021-09-15T18:33:06Z', '4302', '2495', 'vqytiswrbzhdenuaxpjlofkgcm');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Maggie Murby', 'ysuqcpwbhenxjgmfk', '2022-05-01T08:51:27Z', '2021-08-28T11:04:27Z', '1844', '2516', 'qpfhvjtbymaznlkwsecxr');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Guinevere Bonhill', 'gscmlxtqfnrbhj', '2022-06-08T01:42:32Z', '2022-02-28T23:44:33Z', '3435', '234', 'smkzjxdibpfohgevcuayrtlwnq');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Rosabelle Ollington', 'lxmigznscvbweyjtaudf', '2022-05-10T10:57:34Z', '2022-03-09T23:03:42Z', '2976', '2240', 'zqfeitwxjbnupsrdyclomvhkga');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Elspeth Dimont', 'mikynxeazqhotpwujfd', '2021-12-05T13:57:18Z', '2021-10-03T10:41:05Z', '2850', '925', 'ahvycgjwomruklpqsxienzdbft');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Kahlil Lamcken', 'isatnrkxhuwyl', '2021-07-17T15:18:19Z', '2021-11-24T13:02:23Z', '3518', '2521', 'lsjvzryqnctopfdxbwgkehuami');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Stephana Cheyney', 'nwtayqviscxelp', '2022-02-09T17:43:22Z', '2021-06-15T21:16:09Z', '4107', '4863', 'tsiuqbyhogepxwjkfrcvamlndz');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Casandra Grenkov', 'ygouhjtzbnxwer', '2022-05-05T05:15:33Z', '2021-09-18T07:01:18Z', '1176', '3480', 'gyrieltfuohbzsmadpq');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Jazmin Mockett', 'rtzybjqndk', '2021-11-29T08:50:41Z', '2021-10-10T03:03:45Z', '4051', '2290', 'wflyshdqecgmuritjbknapozvx');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Sydney Goodings', 'btsvlrwqzmdnxceohu', '2022-01-18T19:52:04Z', '2021-08-13T19:42:13Z', '4801', '2372', 'badekpqlxyjiczwhgtfuvsornm');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Nolie Winsbury', 'whqfiuzxarjctbyklvep', '2022-01-02T19:00:14Z', '2021-09-18T15:06:51Z', '2437', '3930', 'tdofhbcrjqsiaypgl');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Mavis Sleford', 'eszhwbrognmyl', '2021-07-17T10:16:32Z', '2021-12-05T23:10:10Z', '836', '682', 'lszaojhfrwm');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Josy Seagood', 'vburlwsqtkaig', '2022-01-27T22:05:17Z', '2021-09-28T09:54:11Z', '1945', '578', 'hmnftlsijcwugqorexzbdvaykp');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Vladimir Yakebowitch', 'pgkicxrjbsfedn', '2021-09-30T23:44:26Z', '2022-02-18T11:12:58Z', '1918', '2154', 'qowridkthxasncfgvbjylmzupe');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Annemarie Vagg', 'nzqeflpjkvxg', '2021-09-15T10:14:41Z', '2021-09-14T12:58:38Z', '1948', '1728', 'rfkcnxujbepmiqtalwdyvo');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Reina Schiefersten', 'pbfamhvntejdlcgursw', '2022-03-20T17:50:48Z', '2021-09-08T17:16:03Z', '3288', '2933', 'tgeyjpskuhawzrvdxlnbmciofq');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Lesly Bunn', 'yihkpfdzgrtaoexbws', '2022-05-10T14:21:28Z', '2022-04-03T09:23:00Z', '3861', '688', 'ycrtgehwmqvxpklobzadufsnij');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Harper Deegin', 'qwyxakncmhruvbetgop', '2021-08-26T18:16:23Z', '2021-11-06T18:51:47Z', '259', '3384', 'tuqzckmedafhpsijwnxlrobgyv');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Jard Keen', 'skwmxinhvbdtyclr', '2021-07-03T22:38:59Z', '2021-10-19T13:05:42Z', '1084', '3566', 'zekvsnulwjmtdrqyhoiagxcfbp');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Lurline Bilby', 'gdahebznfp', '2021-09-16T07:20:21Z', '2022-03-25T06:14:43Z', '1045', '4626', 'gazytkjquoxpbhlwemvcrinsfd');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Barnebas Harroway', 'iqukdpbwgnzjselvotfy', '2022-02-08T20:54:47Z', '2022-03-29T21:24:50Z', '2680', '200', 'ixtzqoscuhwnydabrkflgpemjv');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Jerry Boddie', 'ypnzvfjacrtqiwmghd', '2021-08-02T15:16:34Z', '2021-12-19T22:46:29Z', '1279', '4022', 'cyswxpegtohimnjubzrdkvlfaq');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Terrijo Berndtssen', 'gjrylmvqwaohdpcxezbf', '2021-10-03T07:41:35Z', '2021-12-31T00:24:31Z', '1354', '1668', 'zteyqnjovfwpimkdauhclgbsrx');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Dasha Offen', 'oeyarthvjlnkbqxzgiu', '2022-03-22T16:51:36Z', '2021-12-03T00:39:28Z', '3891', '1285', 'muhldnqaozcsketrwvbiyfpxgj');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Brooke Bradshaw', 'jabhynzxdcukwfi', '2022-05-09T00:57:21Z', '2022-02-17T12:46:34Z', '4409', '4881', 'xrhlpafgdvnjyskmociwzubtqe');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Phyllis Lovegrove', 'dtqkowselbfy', '2021-07-04T15:30:02Z', '2021-11-14T06:14:47Z', '3510', '4855', 'mibxupshagveclnrwzjtyfkqod');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Martguerita McBrier', 'alzsjmcpekybinfrguv', '2021-12-02T05:09:46Z', '2021-10-15T15:09:48Z', '192', '3426', 'ujghqlbksoeznxfvaytdrmciwp');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Colene Setter', 'sqfnjebuwrgcxmv', '2021-11-01T18:57:23Z', '2021-11-23T01:39:29Z', '395', '611', 'glyxpoksteavdzjiuhfcbrmqwn');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Doralin Yardy', 'sqlnywbzkuxviprejdmh', '2021-11-13T09:20:45Z', '2022-02-02T12:36:07Z', '2218', '938', 'zritkfdsqgh');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Forster Lavell', 'loaxkwczufs', '2021-11-10T05:51:47Z', '2022-05-18T20:34:43Z', '2448', '4194', 'nqrtgmwbvzhujkcosylpefdixa');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Berne Josh', 'pgaloxvsji', '2022-03-14T16:20:46Z', '2021-06-12T17:22:04Z', '1683', '3427', 'qdkejymsoi');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Eric Rosso', 'gjdlosrehzwmqxfy', '2022-04-24T02:26:25Z', '2021-11-16T20:53:38Z', '3291', '612', 'odpgrjfyilusnzxhkqwbevact');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Adelbert Agus', 'ypuqwrzlanvfojmtgbsd', '2021-06-30T09:01:24Z', '2022-03-19T22:53:47Z', '950', '3034', 'dhpmkewoginbjc');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Basilio Keepe', 'qnumpldtrvyjowezig', '2022-06-04T14:01:45Z', '2021-06-27T09:38:16Z', '2202', '1960', 'cngpvmfioblqz');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Rosalinde Huzzay', 'nfzvsxjthabqmgu', '2022-01-19T14:12:44Z', '2021-08-31T00:22:13Z', '4494', '1768', 'hazrewksdxuyvmoqbficlpjgnt');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Dulci Leghorn', 'tpzjregoibc', '2022-04-06T12:56:07Z', '2022-03-14T03:14:54Z', '3552', '1697', 'qspblzhywnvikcgjtdumfxeora');
insert into vendors (name, tax_no, start_date, end_date, updated_by, created_by, external_v_code) values ('Perren Menary', 'xftlonuwjihrgevks', '2021-06-28T15:00:41Z', '2022-05-31T07:55:21Z', '3086', '384', 'cwjfgzyrxtovmaupdshlqi');
